127.0.0.1 - - [25/May/2023:10:18:17 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [25/May/2023:10:47:14 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:50 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:51 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:51 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:56 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:56 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:58 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:48:58 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:52:06 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:52:06 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:52:24 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:52:24 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:54:37 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:23 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:23 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:23 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:11:06:05 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:11:06:05 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
